kind,leg,kwarg,dtype,test,us_ig_cds,usd_irs,usd_irs_lt_2y,gbp_irs,eur_irs,sek_irs,nok_irs,chf_irs,cad_irs,cad_irs_le_1y,jpy_irs,nzd_irs3,nzd_irs6,aud_irs6,aud_irs3,aud_irs,eur_irs6,eur_irs3,eur_irs1,sek_irs3,nok_irs3,nok_irs6,eurusd_xcs,gbpusd_xcs,eurgbp_xcs,gbpeur_xcs,jpyusd_xcs,audusd_xcs3,audusd_xcs,nzdusd_xcs3,nzdaud_xcs3,eur_zcis,gbp_zcis,usd_zcis,gbp_zcs,sek_iirs,eur_sbs36,nok_sbs36,us_gb,us_corp,us_muni,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,ch_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,uk_gbb,uk_gbi,sek_fra3,eur_fra3,eur_fra6,eur_fra1,nok_fra3,nok_fra6,usd_frn5,usd_stir,usd_stir1,eur_stir,eur_stir1,eur_stir3,gbp_stir,us_gb_2y,us_gb_3y,us_gb_5y,us_gb_10y,us_gb_30y,de_gb_2y,de_gb_5y,de_gb_10y,de_gb_30y,fr_gb_5y,fr_gb_10y,sp_gb_10y,ch_gb_10y
meta,meta,currency,str,TES,usd,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,nzd,nzd,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur/usd,gbp/usd,eur/gbp,gbp/eur,jpy/usd,aud/usd,aud/usd,nzd/usd,nzd/aud,eur,gbp,usd,gbp,sek_iirs,eur,nok,usd,usd,usd,usd,gbp,eur,eur,eur,eur,chf,sek,nok,cad,usd,sek,gbp,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp,usd,usd,usd,usd,usd,eur,eur,eur,eur,eur,eur,eur,chf
meta,meta,instrument,str,none,cds,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,irs,xcs,xcs,xcs,xcs,xcs,xcs,xcs,xcs,xcs,zcis,zcis,zcis,zcs,iirs,sbs,sbs,frb,frb,frb,frb,frb,frb,frb,frb,frb,frb,frb,frb,frb,bill,bill,bill,ifrb,fra,fra,fra,fra,fra,fra,frn,stir,stir,stir,stir,stir,stir,bf,bf,bf,bf,bf,bf,bf,bf,bf,bf,bf,bf,bf
meta,meta,sub_type,str,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,meta,bloomberg_ticker,str,none,,usosfr,usosfr,bpsws,eeswe,sksws,nks,sfsnt,cdso,cdso,jyso,ndswap,,adsw,adsw_q,adso,eusa,eusw_v3,,sksw,nksw_v3,nksw,euxoqq,bpxoqq,ebxoqq,ebxoqq,jybss,,,,,euswi,bpswit,usswit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFR,SF1,KTR,,ER,SFI,US,US,US,US,US,DE,DE,DE,DE,FR,FR,SP,CH
meta,meta,eval,str,none,,2b,2b,0b,2b,2b,2b,2b,1b,1b,2b,2b,2b,1b,1b,1b,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b,,,,,2bx15,0bx15,2b,0b,2b,2b,2b,,,,,,,,,,,,,,,,,,,,,,,,,3m SOFR Futures convention,1m Avergaed SOFR Futures,3m ESTR Futures,1m Averaged ESTR futures,Euribor 3m Futures,SONIA 3m Futures,US treasury futures,US treasury futures,US treasury futures,US treasury futures,US treasury futures,Eurex Germany Futures,Eurex Germany Futures,Eurex Germany Futures,Eurex Germany Futures,Eurex France Futures,Eurex France Futures,Eurex Spain Futures,Eurex CHF Futures
meta,meta,description,str,A test column,,SOFR IRS conventions,SOFR IRS conventions,SONIA IRS conventions,ESTR IRS conventions,SWESTR IRS conventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg1,effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_derivative,leg1,termination,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3m,3m,6m,1m,3m,6m,,,,,,,,,,,,,,,,,,,,
base_derivative,leg1,frequency,str,m,q,a,a,a,a,a,a,a,s,a,a,s,s,s,q,a,a,a,a,a,a,a,q,q,q,q,q,q,q,q,q,a,a,a,a,a,q,q,s,s,s,s,s,a,a,a,s,a,a,a,s,,,,s,q,q,s,m,q,s,q,q,m,q,m,q,q,,,,,,,,,,,,,
